tree | affordances.spec.ts whole (exact) on B5bcl | exit 1 | 
control | affordances.spec.ts whole (exact, own) on CubiZ | exit 1 | 
tree | npm run lint:lanes | exit 0
tree | npm run lint:theme-tokens | exit 0
tree | npm run lint:sleep | exit 0
tree | npm run test:e2e:projects | exit 0
tree | node scripts/check-pw-projects.mjs | exit 0
tree | npx eslint . | exit 0
tree | npm run lint | exit 1
tree | npm run lint:copy | exit 0
tree | node scripts/check-copy-register.mjs | exit 0
tree | npm run lint:motion | exit 0
tree | npm run lint:ink | exit 0
tree | node scripts/check-ink-pressure.mjs | exit 0
tree | npm run lint:live-regions | exit 0
tree | npm run lint:theme-selectors | exit 0
tree | npm run lint:knip | exit 0
tree | npx vue-tsc --noEmit | exit 2
tree | npm run typecheck:e2e | exit 0
tree | node /Users/mkbabb/Programming/csc411/CSC411_HW2_ProgrammingQuestion/docs/tranches/2026-08-tranche-9/evidence/w7/loop/pass6/instruments/check-property-block.mjs --fe /Users/mkbabb/Programming/csc411/CSC411_HW2_ProgrammingQuestion/.claude/worktrees/wf_f72f3b5a-83a-47/web/frontend | exit 0
control | npm run lint:lanes | exit 0
control | npm run lint:theme-tokens | exit 0
control | npm run lint:sleep | exit 0
control | npm run test:e2e:projects | exit 0
control | node scripts/check-pw-projects.mjs | exit 0
control | npx eslint . | exit 0
control | npm run lint | exit 0
control | npm run lint:copy | exit 0
control | node scripts/check-copy-register.mjs | exit 0
control | npm run lint:motion | exit 0
control | npm run lint:ink | exit 0
control | node scripts/check-ink-pressure.mjs | exit 0
control | npm run lint:live-regions | exit 0
control | npm run lint:theme-selectors | exit 0
control | npm run lint:knip | exit 0
control | npx vue-tsc --noEmit | exit 0
control | npm run typecheck:e2e | exit 0
control | node /Users/mkbabb/Programming/csc411/CSC411_HW2_ProgrammingQuestion/docs/tranches/2026-08-tranche-9/evidence/w7/loop/pass6/instruments/check-property-block.mjs --fe /private/tmp/claude-504/-Users-mkbabb-Programming-csc411-CSC411-HW2-ProgrammingQuestion/b26a5145-f034-45a7-a7f0-2781da45a9b3/scratchpad/erase6-ctrl74/web/frontend | exit 0
